muni,yhat_1,yhat_2
1161108104,0.1295699,0.11023871
1161108105,0.10910097,0.06672923
1161108106,0.051363543,0.050227497
1161108107,0.17401755,0.22026037
1161108108,0.17316826,0.16621184
1161108109,0.08605173,0.0568599
1161108110,0.1359094,0.1231182
1161108111,0.23817718,0.23618262
1161108112,0.13241921,0.13819289
1161108113,0.16975145,0.16692804
1161108114,0.15283634,0.15857431
1161108115,0.26407662,0.23508976
1161108116,0.19074498,0.1884996
1161108117,0.24199851,0.24930426
1161108118,0.2621747,0.27013326
1161108119,0.20903715,0.18078937
1161108120,0.15952554,0.1467635
1161109101,0.164227,0.16526712
1161109102,0.26572782,0.23440605
1161110101,0.18275401,0.12684497
1161110102,0.19368365,0.19117226
1161110103,0.16834289,0.17596506
1161110104,0.24070753,0.20609266
1161110105,0.25811514,0.22373569
1161110106,0.30730775,0.319109
1161110107,0.24504298,0.2862611
1161110108,0.28072885,0.26582423
1161111101,0.18673341,0.16616647
1161111102,0.12116826,0.12930043
1161111103,0.20510691,0.14104226
1161111104,0.12938137,0.14955157
1161111105,0.29422596,0.31339034
1161111106,0.39744526,0.36740488
1161111107,0.3375439,0.41319793
1161111108,0.24473764,0.20047015
1161112101,0.11494727,0.112225056
1161112102,0.12052723,0.08298685
1161112103,0.11424466,0.0957113
1161112104,0.14477909,0.11551994
1161112105,0.1895712,0.2307478
1161112106,0.07194476,0.07776962
1161112107,0.08360568,0.09950006
1161112108,0.11020686,0.145345
1161112109,0.10682985,0.098742746
1161112110,0.14339608,0.1699919
1161112111,0.25351238,0.30296305
1161112112,0.25704592,0.26708654
1161112113,0.31501928,0.3244319
1161113101,0.18109761,0.20292963
1161113102,0.20255753,0.23470083
1161113103,0.25279492,0.22843206
1161113104,0.24156025,0.23387195
1161113105,0.2456277,0.2545554
1161113106,0.24382839,0.28998235
1171001101,0.17590278,0.14669277
1171001102,0.18154915,0.17777167
1171001103,0.34183747,0.3272523
1171001104,0.27426308,0.28548554
1171001105,0.25392136,0.27369052
1171001106,0.21441649,0.21318638
1171001107,0.33989882,0.35887465
1171002101,0.1954876,0.15657797
1171002102,0.10842417,0.11360224
1171002103,0.18629253,0.19562067
1171002104,0.18933448,0.18164422
1171002105,0.2160478,0.2248405
1171002106,0.14288707,0.13807242
1171002107,0.28981885,0.27304158
1171003101,0.18300824,0.20312877
1171003102,0.26913646,0.2866424
1171003103,0.20708019,0.18056864
1171003104,0.22052112,0.24198984
1171003105,0.1707815,0.20461887
1171003106,0.37509272,0.31487525
1171003107,0.26813343,0.28527576
1171003108,0.08057417,0.06479631
1171003109,0.25219432,0.28005657
1171003110,0.25753704,0.3339379
1171004101,0.117696606,0.09198587
1171004102,0.14655457,0.13926624
1171004103,0.16693877,0.1432518
1171004104,0.13074571,0.1256034
1171004105,0.23091806,0.2456482
1171004106,0.20831893,0.18650779
1171004107,0.14027727,0.15128823
1171004108,0.13164672,0.1097022
1171004109,0.21228161,0.24506842
1171004110,0.18089838,0.1981837
1171004111,0.1391015,0.14350685
1171004112,0.13960394,0.1363987
1171005101,0.21063477,0.23726562
1171005102,0.370887,0.3115717
1171005103,0.28520975,0.2995361
1171005104,0.32291096,0.33010462
1171005105,0.29040983,0.32122767
1171006101,0.11444776,0.06260308
1171006102,0.13576037,0.12359652
1171006103,0.1289552,0.15119885
1171006104,0.12116826,0.09862406
1171006105,0.06170571,0.06550538
1171006106,0.10485389,0.067292154
1171006107,0.15609077,0.1465899
1171006108,0.12217754,0.09010083
1171006109,0.072941124,0.06748233
1171006110,0.120330006,0.0745998
1171006111,0.1232943,0.09240843
1171006112,0.10299444,0.07102083
1171006113,0.12310089,0.06623309
1171006114,0.13968489,0.14373076
1171006115,0.116960034,0.15384233
1171006116,0.09686789,0.08495458
1171006117,0.16584179,0.17068002
1171006118,0.12424018,0.13275068
1171006119,0.14315279,0.11709295
1171006120,0.07586648,0.09564285
1171006121,0.112846486,0.11269672
1171007101,0.08764194,0.09118681
1171007102,0.08411738,0.05734657
1171007103,0.11521103,0.11420497
1171007104,0.11230082,0.09741132
1171007105,0.060303487,0.05607051
1171007106,0.13311927,0.13017012
1171007107,0.08999713,0.058080256
1171007108,0.066399254,0.062856525
1171007109,0.07962373,0.0590368
1171007110,0.082270734,0.059700526
1171007111,0.064797156,0.05922651
1171007112,0.10463667,0.079381116
1171007113,0.10425346,0.068331726
1171007114,0.12683249,0.07455624
1171007115,0.10610011,0.07455624
1171007116,0.08157463,0.07821099
1171007117,0.15631296,0.1370147
1171007118,0.121696904,0.096180014
1171007119,0.1336247,0.121419854
1171007120,0.07698948,0.071302585
1171007121,0.054489072,0.056801014
1171007122,0.04410511,0.055756126
1171007123,0.11766447,0.07833094
1171008101,0.07194476,0.07050914
1171008102,0.12835126,0.13049224
1171008103,0.15576302,0.1728563
1171008104,0.17681086,0.18747924
1171008105,0.16346219,0.20452328
1171008106,0.12690198,0.14470164
1171008107,0.10014278,0.083592735
1171008108,0.123721294,0.10673174
1171008109,0.1430596,0.15202075
1171008110,0.08089769,0.10177282
1171008111,0.07372999,0.06921931
1171008112,0.054489072,0.061166298
1171008113,0.10747778,0.11914701
1171008114,0.053135604,0.07507469
1171009101,0.19409019,0.17576104
1171009102,0.23796047,0.21153039
1171009103,0.23901697,0.26563513
1171009104,0.09311792,0.07308514
1171009105,0.20591535,0.223184
1171009106,0.16699119,0.17796202
1171009107,0.15838496,0.15951598
1171009108,0.14397122,0.120381266
1171010101,0.10175924,0.11405218
1171010102,0.15092887,0.15330243
1171010103,0.15585835,0.145571
1171010104,0.16712415,0.18499537
1171010105,0.1868124,0.20421034
1171010106,0.16675399,0.15948717
1171010107,0.2127655,0.17555386
1171011101,0.060937777,0.070545174
1171011102,0.0629505,0.061166298
1171011103,0.038436104,0.051494505
1171011104,0.116155885,0.12426558
1171011105,0.06822827,0.07973132
1171011106,0.12577184,0.08436238
1171011107,0.08482867,0.07068508
1171011108,0.082270734,0.06479631
1171011109,0.09348363,0.067390814
1171011110,0.07765816,0.059700526
1171011111,0.12038295,0.15157317
1171011112,0.10324845,0.06558691
1171011113,0.09662674,0.06457768
1171011114,0.060574677,0.053383496
1171011115,0.12715401,0.068663254
1171011116,0.07900468,0.07001436
1171011117,0.12619072,0.119757675
1171011118,0.1586606,0.16115609
1171012101,0.115378655,0.08407282
1171012102,0.11662703,0.07784988
1171012103,0.068986535,0.06111338
1171012104,0.13424519,0.1549577
1171012105,0.14730553,0.12312901
1171012106,0.17826259,0.1974738
1171012107,0.17021535,0.16707145
1171012108,0.19546022,0.18770984
1171012109,0.13331808,0.1358046
1171012110,0.124450095,0.14098243
1171012111,0.10099587,0.07897705
1171012112,0.14614834,0.14674163
1171013101,0.11287296,0.052540623
1171013102,0.13462035,0.11969648
1171013103,0.11747947,0.08204953
1171013104,0.1549168,0.20089394
1171013105,0.30881977,0.3277024
1171013106,0.2849133,0.23708385
1171014101,0.17820837,0.2277678
