muni,pov_rank,pop_rank,_population,value,measure,variable,model_t,dtype,level,min,gap
1111016,18,30,1,-.045463417,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111017,41,49,1,.0085383914,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111018,28,35,1,.019877994,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111019,16,26,1,-.034810249,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111020,48,50,1,.047763765,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111021,37,36,1,-.0024587945,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111022,19,30,1,-.038892459,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111023,21,39,1,-.025381848,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111024,26,19,1,.0085939029,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111025,49,47,1,.13795422,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1111026,27,44,1,.038168538,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
