muni,yhat_1,yhat_2,yhat_3
1261020,0.15580542,0.14621687,0.11380783
1261021,0.2533449,0.14376369,0.23085189
1261023,0.10850724,0.11822655,0.10250248
1261025,0.106061146,0.08828432,0.08022512
1261026,0.2684451,0.37027204,0.2608892
1261027,0.08295005,0.07146794,0.062379327
1261029,0.11152464,0.086784005,0.080036156
1261030,0.09348884,0.07714211,0.07114157
1261033,0.16689338,0.1889138,0.24088253
1261035,0.106061146,0.057341088,0.08964119
1261036,0.08120528,0.073057525,0.08349884
1261038,0.07326027,0.073057525,0.09464932
1261039,0.09636454,0.06494221,0.077695206
1261041,0.067750536,0.07545319,0.08211484
1261042,0.13325979,0.1014243,0.13880241
1261043,0.06441051,0.08148085,0.097724766
1261045,0.20701191,0.21838877,0.21979788
1261047,0.12749924,0.10138886,0.08821224
1261048,0.07751284,0.07538436,0.09660849
1261049,0.36871305,0.3519623,0.3408122
1261051,0.27215597,0.2620244,0.22382519
1261052,0.17821345,0.21730262,0.16021954
1261055,0.10098585,0.087760806,0.0890601
1261056,0.3625969,0.28330618,0.3212111
1261058,0.106061146,0.06446189,0.08713704
1261066,0.1085002,0.07041972,0.07658769
1261069,0.278053,0.30810365,0.232734
1261071,0.1377511,0.112185925,0.11724594
1261072,0.2083097,0.22208199,0.19526067
1271001,0.34205675,0.37971812,0.29293433
1271002,0.17008916,0.16487314,0.17414737
1271003,0.3557151,0.3227186,0.33353606
1271004,0.08903516,0.07393635,0.07993271
1271005,0.18217501,0.19462727,0.19670863
1271006,0.25428843,0.24582614,0.22887836
1271007,0.1494742,0.17093681,0.15610522
1271008,0.21052092,0.273862,0.23060861
1271009,0.24654062,0.24690323,0.21171373
1271010,0.20260453,0.22970237,0.2263747
1271011,0.38018903,0.427794,0.3361066
1271012,0.26853696,0.22405471,0.23503096
1271013,0.1049214,0.10357742,0.11103177
1271014,0.10421701,0.08536107,0.11760232
1271015,0.4307824,0.45470712,0.40137228
1271016,0.28816217,0.28364122,0.22344828
1271017,0.27336165,0.28371838,0.25290215
1281001,0.17165306,0.17040417,0.15524608
1281002,0.21103702,0.22040948,0.19312447
1281003,0.08295005,0.09043113,0.09251661
1281004,0.22384393,0.20015395,0.19046754
1281007,0.13616088,0.06391366,0.106453344
1281008,0.44242394,0.34722444,0.3930422
1281009,0.08630887,0.06133594,0.081700675
1281011,0.19895184,0.21920393,0.19035596
1281012,0.2579439,0.27986434,0.24433875
1281013,0.2177453,0.20603271,0.25069815
1281014,0.10098585,0.017296528,0.0684431
1281015,0.14087568,0.09361268,0.12424199
1281016,0.24656576,0.24366462,0.26244083
1281017,0.3176317,0.3839461,0.33773455
1281018,0.11393741,0.14576794,0.14959434
1281019,0.33262858,0.24359721,0.28262794
1281021,0.15177497,0.10695443,0.121565625
1281022,0.08295005,0.09625848,0.087862186
1281023,0.23292765,0.18574661,0.19560717
1281024,0.09622271,0.0688595,0.092581935
1281025,0.0661565,0.06446189,0.093844265
1281027,0.12748294,0.117580645,0.08356761
1281028,0.24767862,0.18807815,0.2194207
1281029,0.37442446,0.333684,0.2829165
1281030,0.22099692,0.20059094,0.18353021
