sim_sample,gb_census_mun,gb_gis_mun,gb_all_mun,gb_census_psu,bart_census_mun,bart_gis_mun,bart_all_mun,bart_census_psu,rf_census_mun,rf_gis_mun,rf_all_mun,rf_census_psu,lasso_census_mun,lasso_gis_mun,lasso_all_mun,lasso_census_psu,ols_census_mun,ols_gis_mun,ols_all_mun,ols_census_psu,eb,uc
50,.1934808,.1980241,.1936543,.1934141,.1932758,.1976984,.1932515,.1934171,.1933678,.1969969,.1934303,.1931462,.1932902,.2019268,.1933948,.1934941,.1981513,.1993096,.1937503,.1958773,.1933126,.1940581
51,.1939153,.1977649,.1936441,.1934205,.1932677,.1976958,.1932626,.193497,.1939828,.1977299,.1937394,.1933555,.1936536,.2007986,.1937984,.1934782,.1967893,.1990922,.1940801,.1953043,.1933718,.1935007
52,.1935028,.1973162,.1935144,.1931263,.1931391,.1975254,.1933732,.1930872,.1931472,.1971608,.1933713,.1932101,.1936051,.2016316,.1935016,.1934718,.1970548,.1984235,.1934004,.1956305,.1930996,.1931441
53,.1937813,.1975368,.1943208,.1932911,.1932528,.198098,.1935865,.1932771,.1933119,.1966221,.1939083,.1933854,.1935324,.2013172,.1934882,.1935878,.1975994,.2003089,.194167,.1963525,.1932415,.1936403
54,.1936473,.1960367,.192968,.1934138,.1932859,.1973188,.1934988,.1933826,.1931696,.1963225,.1930492,.1932142,.1934292,.2021713,.1934978,.1934527,.1972073,.1994297,.1941148,.1963554,.1930855,.1931686
55,.1936048,.1996219,.1936092,.1933145,.1933174,.1979109,.1932696,.193189,.1932256,.1995159,.193732,.1934294,.1935631,.2014478,.1934879,.193672,.1983073,.1989473,.1937769,.1966516,.1931397,.1931004
56,.1931937,.1979806,.1935429,.1934088,.1931066,.1967932,.1931199,.193183,.1929786,.1959607,.1938521,.1931806,.1935528,.200028,.1935209,.1935849,.1970185,.1990986,.1939113,.1956575,.1931044,.1932579
57,.1941373,.1979286,.1935803,.1931912,.1937664,.1981954,.1936312,.1931702,.1936994,.1976228,.193611,.1933359,.1933594,.2013441,.1934611,.1936408,.1978403,.1996787,.1940488,.1957557,.1930765,.1931207
58,.1938634,.1975181,.1936078,.1934915,.1934581,.1972093,.1934828,.193168,.1938029,.1974309,.1936488,.1931599,.1935977,.2020198,.1936578,.1934765,.196914,.1989882,.1936238,.196205,.1931334,.1935534
59,.193634,.1982849,.1938174,.1934983,.1932515,.1972043,.1930677,.1933571,.193235,.1971353,.1931843,.1932862,.1935178,.2021605,.1934758,.1934978,.1965749,.1993091,.1938698,.1956237,.1932165,.1935216
60,.1934703,.19799,.1940812,.1935357,.193476,.197736,.1931461,.1936287,.1935743,.1967481,.1931124,.1932022,.1936252,.201152,.1935913,.1936695,.1973294,.1997674,.1937369,.1956983,.1934125,.1933112
61,.1935804,.1974844,.1937635,.1934472,.1933559,.1974208,.1934839,.1932671,.1935734,.1967021,.1936445,.1933559,.1936983,.2011791,.1936464,.1935517,.1982564,.1998969,.1940187,.1956083,.1931086,.1932752
62,.1934808,.1970368,.1933847,.1934622,.1933185,.1973689,.1932942,.1932606,.1935002,.1962617,.1935212,.193402,.1935891,.20099,.1935015,.1939595,.1966549,.1988167,.1942398,.1958777,.1933782,.1934166
63,.1938534,.1980852,.193408,.1935598,.1934484,.1972952,.193349,.1933308,.1932119,.1972347,.1935864,.1931783,.1938162,.2011047,.1938542,.193563,.1972133,.1999279,.1943086,.1955416,.1932188,.1935323
64,.1935469,.1967084,.1936705,.1936277,.1935101,.1979829,.1935304,.1933053,.1933739,.1970875,.1936205,.1935201,.1937577,.2007956,.1936908,.193839,.198677,.1988995,.1939844,.1965489,.1932119,.1931488
65,.1934815,.1979967,.1935945,.1934571,.1933495,.1971315,.19348,.1934471,.1931956,.1963605,.1933803,.1930803,.1937468,.2015071,.1937723,.1936813,.1987975,.1995007,.1937808,.1962001,.1930672,.1934275
66,.1936008,.1970585,.1941534,.193177,.1931648,.1978601,.1933642,.1928946,.1937769,.1967602,.1939898,.19304,.1931583,.2013873,.1930377,.1934199,.1970214,.1994729,.193647,.1956478,.193871,.1935168
67,.1941584,.1980498,.1938095,.1934302,.1935628,.1972503,.1933886,.193288,.1934239,.1974808,.1934691,.1931736,.1933919,.2011216,.1934406,.1937068,.198095,.1989227,.1937795,.195921,.1933658,.1934776
68,.1933605,.1978653,.1935272,.193237,.1932776,.1972616,.1935538,.1931035,.1932847,.1962076,.1934775,.1937011,.1933037,.2016878,.1932978,.1934407,.1979491,.1999336,.1941993,.195782,.1930925,.1932669
