OID_,ADM2_PCODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
2046,MX14090,2046,1404.000000000000000,0.024375000390000,0.230995759367943,6.001313209533691,5.770317450165749,0.352584088406927,0.397017145794602,495.028060123324963,0.275223493576050,0.391983109712601
2047,MX30162,2047,321.000000000000000,0.005572916755833,0.240825220942497,1.807002782821655,1.566177561879158,0.401360214360035,0.231521151081532,128.836628809571238,0.300691634416580,0.672861695289612
2048,MX21158,2048,698.000000000000000,0.012118055749444,0.300325542688370,2.720910549163818,2.420585006475449,0.416235552647053,0.216301885010893,290.532415747642801,0.362779885530472,0.496545591950417
2049,MX15088,2049,814.000000000000000,0.014131944670556,0.482798486948013,179.216293334960938,178.733494848012924,10.930218901842164,23.686176924412436,8897.198186099521990,3.995022892951965,20.033681106567386
2050,MX29027,2050,65.000000000000000,0.001128472240278,1.298795223236084,16.455755233764648,15.156960010528564,6.045367132700407,4.789668533132815,392.948863625526428,3.847767829895020,13.376299858093262
2051,MX13060,2051,882.000000000000000,0.015312500245000,0.269928693771362,9.089381217956543,8.819452524185181,0.633099291836864,0.684293867427807,558.393575400113832,0.439128637313843,0.951959598064423
2052,MX15089,2052,183.000000000000000,0.003177083384167,0.803846299648285,20.565301895141602,19.761455595493317,3.184297412145333,3.877555052962996,582.726426422595978,1.492742180824280,7.984601688385015
2053,MX15090,2053,1026.000000000000000,0.017812500285000,0.327735573053360,22.411474227905273,22.083738654851913,2.147959959814886,3.226497145718483,2203.806918770073025,0.877253621816635,6.090927600860596
2054,MX07093,2054,936.000000000000000,0.016250000260000,0.234634727239609,5.532030105590820,5.297395378351212,0.731250738295225,0.571974530922756,684.450691044330938,0.543200135231018,1.368204593658447
2055,MX30163,2055,429.000000000000000,0.007447916785833,0.212566688656807,1.217594742774963,1.005028054118156,0.294802455183787,0.110973347688840,126.470253273844676,0.265902936458588,0.354620921611786
2056,MX27017,2056,9104.000000000000000,0.158055558084444,0.185272932052612,43.964897155761719,43.779624223709106,0.531214811857169,1.825429099430209,4836.179647147670948,0.287899553775787,0.648600548505784
2057,MX14091,2057,4678.000000000000000,0.081215279077222,0.241869375109673,34.051422119140625,33.809552744030952,0.608314029649442,1.591996786829072,2845.693030700092095,0.350259393453598,0.719961369037628
2058,MX30164,2058,302.000000000000000,0.005243055639444,0.311035186052322,9.244379043579102,8.933343857526779,0.923768077958499,1.250175529866839,278.977959543466568,0.559487611055374,1.368377625942232
2059,MX20544,2059,653.000000000000000,0.011336805736944,0.193949952721596,1.789069294929504,1.595119342207909,0.265345897074863,0.134452689856995,173.270870789885322,0.236296087503433,0.290602910518646
2060,MX14092,2060,1665.000000000000000,0.028906250462500,0.263314396142960,12.113694190979004,11.850379794836044,0.501017047675164,0.674006206835160,834.193384379147801,0.340192377567291,0.700930523872376
2061,MX29028,2061,385.000000000000000,0.006684027884722,0.430228561162949,19.659458160400391,19.229229599237442,2.730750530184086,4.414800420894412,1051.338954120873041,0.695839285850525,10.022235488891601
