HID_mun,fgt0_bias_reg,fgt0_mse,simulation,method_des
1201224,-.14627613,.0217615115025446,15,XGBoost(hh) Mun
1201225,-.30263278,.0917348089056383,15,XGBoost(hh) Mun
1201226,-.21638805,.0469760578149367,15,XGBoost(hh) Mun
1201227,-.033396788,.0011193262235036,15,XGBoost(hh) Mun
1201228,-.078995466,.006306327173686,15,XGBoost(hh) Mun
1201229,-.12828279,.0164775798880971,15,XGBoost(hh) Mun
1201230,-.18973155,.0361101711187353,15,XGBoost(hh) Mun
1201231,-.2371837,.0565843079146339,15,XGBoost(hh) Mun
1201232,-.095163748,.0090704308974562,15,XGBoost(hh) Mun
1201233,-.18270884,.0334914581684393,15,XGBoost(hh) Mun
1201234,-.074940868,.0056773221709467,15,XGBoost(hh) Mun
1201235,-.29139373,.085231292335049,15,XGBoost(hh) Mun
1201236,-.004227852,.0001212276287251,15,XGBoost(hh) Mun
1201237,-.26153868,.0686788614266031,15,XGBoost(hh) Mun
1201238,-.029295895,.0008998742133264,15,XGBoost(hh) Mun
1201239,-.051196899,.0026999801615231,15,XGBoost(hh) Mun
1201240,-.26561198,.0708874826429401,15,XGBoost(hh) Mun
1201241,-.22722112,.0516640563689109,15,XGBoost(hh) Mun
1201242,-.079160728,.0063401707173545,15,XGBoost(hh) Mun
1201243,-.20197544,.040996277247696,15,XGBoost(hh) Mun
1201244,-.05429668,.0029812370569725,15,XGBoost(hh) Mun
1201245,-.20206878,.0408896980302682,15,XGBoost(hh) Mun
1201246,-.0690322,.0047824881191202,15,XGBoost(hh) Mun
1201247,-.21865208,.0478998141262999,15,XGBoost(hh) Mun
1201248,-.061578259,.00379294895398,15,XGBoost(hh) Mun
1201249,-.10614955,.0115313618280867,15,XGBoost(hh) Mun
1201250,-.12547116,.0158115773213968,15,XGBoost(hh) Mun
1201251,-.18399474,.0342004508070549,15,XGBoost(hh) Mun
1201252,-.07267306,.0052887245952402,15,XGBoost(hh) Mun
1201253,-.15721665,.0253430122944765,15,XGBoost(hh) Mun
1201254,-.27081633,.0736360195729544,15,XGBoost(hh) Mun
1201255,-.29749689,.0891108403154559,15,XGBoost(hh) Mun
1201256,-.051964346,.0027248050131839,15,XGBoost(hh) Mun
1201257,-.059940856,.0035951414745976,15,XGBoost(hh) Mun
1201258,.017741282,.0008741297947163,15,XGBoost(hh) Mun
1201259,-.068890013,.0048245471392756,15,XGBoost(hh) Mun
1201260,-.21973518,.0484412292962845,15,XGBoost(hh) Mun
1201261,-.07402274,.0054954265713054,15,XGBoost(hh) Mun
1201262,-.043853924,.0019944746740174,15,XGBoost(hh) Mun
1201263,-.091417395,.0083864708696851,15,XGBoost(hh) Mun
1201264,-.25867045,.0674244286802292,15,XGBoost(hh) Mun
1201265,-.043425523,.0018925007041018,15,XGBoost(hh) Mun
1201266,-.040951397,.0016949494630848,15,XGBoost(hh) Mun
1201267,-.24018495,.0577600580209064,15,XGBoost(hh) Mun
1201268,-.28312787,.0804775570500757,15,XGBoost(hh) Mun
1201269,-.16927533,.0286772570083837,15,XGBoost(hh) Mun
1201270,-.19678995,.0387432995363624,15,XGBoost(hh) Mun
1201271,-.039159965,.0019422884483977,15,XGBoost(hh) Mun
1201272,.059279583,.0040641445818765,15,XGBoost(hh) Mun
1201273,-.057718433,.0035582578706582,15,XGBoost(hh) Mun
1201274,-.013967693,.0003912929555475,15,XGBoost(hh) Mun
1201275,-.27932903,.078112716301377,15,XGBoost(hh) Mun
1201276,-.31609243,.1001384828765359,15,XGBoost(hh) Mun
1201277,-.21466887,.0462002893857409,15,XGBoost(hh) Mun
1201278,-.069923289,.0050962441043306,15,XGBoost(hh) Mun
1201279,-.13305509,.0178296704698398,15,XGBoost(hh) Mun
1201280,-.23303905,.0546113813932953,15,XGBoost(hh) Mun
1201281,-.20581166,.0424306965879126,15,XGBoost(hh) Mun
1201282,-.15165958,.0230399754983526,15,XGBoost(hh) Mun
1201283,-.2493245,.0623331522008257,15,XGBoost(hh) Mun
1201284,-.28399712,.0808350975501992,15,XGBoost(hh) Mun
1201285,-.1643685,.027076256686073,15,XGBoost(hh) Mun
